Host,Template,Group,udid,,,,,,
Cisco Roombar,Longhaul Devices,LongHaul Devices,10.50.10.221,,,,,,
Cisco Desk Pro,LongHaul Devices,LongHaul Devices,10.50.10.116,,,,,,
